id,name,type,district,taluk,address,latitude,longitude,recognition_status,contact_phone,contact_email,official_source_id,last_verified,geocoding_status,geocoding_source,geocoded_at,geocoding_confidence,geocoding_query
tc-095,S.R.S Industrial Training Centre Begepalli Town,Private ITI,Chikkaballapura,,Kotha Palli Road Bagepalli,,,private-recognized,8693932463,,src-024,2026-09-05,FAILED,,,LOW,"Kotha Palli Road Bagepalli, Chikkaballapura, Karnataka, India"
tc-096,Sri Jagadguru Renukacharya Institute of Technology,Private ITI,Chikkamagaluru,,"Balehonnur, renuka nagar",13.347882,75.46167,private-recognized,08266-250279,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.479813+00:00,HIGH,"Balehonnur, Chikkamagaluru, Karnataka, India"
tc-097,Sri Dharmastala Manjunatheshwara ITI,Private ITI,Chikkamagaluru,,"Via Kalasa Mudigere, SAMSE",,,private-recognized,08263-249222,,src-024,2026-09-05,FAILED,,,LOW,"Via Kalasa Mudigere, Chikkamagaluru, Karnataka, India"
tc-098,"Azad Minorities Industrial Training Centre, Challakere",Private ITI,Chitradurga,,"T.R.Nagar, challakere",,,private-recognized,9448862788,,src-024,2026-09-05,FAILED,,,LOW,"T.R.Nagar, Chitradurga, Karnataka, India"
tc-099,T M A E S Industrial Training Institute Hiriyur,Private ITI,Chitradurga,,Hiriyur,13.944324,76.616741,private-recognized,8193263674,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.480221+00:00,HIGH,"Hiriyur, Chitradurga, Karnataka, India"
tc-100,Seyyid Madani ITI,Private ITI,Dakshina Kannada,,"Ombathukere, Ullal, Mangalore",,,private-recognized,08242-466600,,src-024,2026-09-05,FAILED,,,LOW,"Ombathukere, Mangaluru, Karnataka, India"
tc-101,Sri Dharmasthala Manjunatheshwara ITI,Private ITI,Dakshina Kannada,,"Venur, Belthangady Taluk",12.883123,74.838915,private-recognized,08256-286219,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.480560+00:00,HIGH,"Sri Dharmasthala Manjunatheshwara, Mangaluru, Karnataka, India"
tc-102,Sri Kolushanthehwara I.T.C,Private ITI,Davanagere,,Arasikere Harapanahalli,14.668824,76.071356,private-recognized,8398270078,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.480738+00:00,HIGH,"Arasikere Harapanahalli, Karnataka, India"
tc-103,Usmaniya Industrial Training Institute,Private ITI,Davanagere,,Kerebilichi (POST) CHANNAGIRI TQ DAVANAGERE DIST,,,private-recognized,9945365176,,src-024,2026-09-05,FAILED,,,LOW,"Kerebilichi POST CHANNAGIRI DAVANAGERE, Davanagere, Karnataka, India"
tc-104,"Sanjaya Grameena Vidya Samsthe Industrial Training IInstitute, Holealur",Private ITI,Gadag,,"Holealur, Gadag Distt.",15.824167,75.648115,private-recognized,9916266671,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.481331+00:00,HIGH,"Holealur, Gadag, Karnataka, India"
tc-105,Sri Jagadguru Tontadarya I T I Dambal,Private ITI,Gadag,,"DAMBAL, Tq: Mundargi, Dt;Gadag",15.296009,75.777204,private-recognized,08371-266227,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.481557+00:00,HIGH,"DAMBAL, Gadag, Karnataka, India"
tc-106,Sri Adichunchanagiri I.T.C Cannarayapattana,Private ITI,Hassan,,Channarayapattana,12.906877,76.389564,private-recognized,08176-254462,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.481714+00:00,HIGH,"Channarayapattana, Hassan, Karnataka, India"
tc-107,Sri Rameshwara I.T.C Arasikere,Private ITI,Hassan,,"Arasikere, B.H Road",13.315981,76.256849,private-recognized,08174-230501,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.481874+00:00,HIGH,"Arasikere, Hassan, Karnataka, India"
tc-108,"TMAE Tonkada Veerappa Industrail Training Institute, Haveri",Private ITI,Haveri,,"TMAE Tonk Veer I.T.C, Haveri",,,private-recognized,,,src-024,2026-09-05,FAILED,,,LOW,"TMAE Tonk Veer I.T.C, Haveri, Karnataka, India"
tc-109,"T M A E S Sri Maharshi Valmiki ITI for Women, Ranebennur",Private ITI,Haveri,,Ranebennur,14.61658,75.634153,private-recognized,,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.482191+00:00,HIGH,"Ranebennur, Haveri, Karnataka, India"
tc-110,"KVG ITC, Bhagamandala",Private ITI,Kodagu,,Madikeri,12.42149,75.738754,private-recognized,08272-243266,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.482332+00:00,HIGH,"Madikeri, Kodagu, Karnataka, India"
tc-111,Kalpaturu Industrial Training Centre Kushal Nagar,Private ITI,Kodagu,,Somwarpet Taluk,12.597188,75.846687,private-recognized,08276-271200,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.482494+00:00,HIGH,"Somwarpet, Kodagu, Karnataka, India"
tc-112,Noorie Industrial Training Centre Andersopet,Private ITI,Kolar,,"Andersopet, K.G.F.-563113",,,private-recognized,08153-274000,,src-024,2026-09-05,AMBIGUOUS,osm-nominatim,,AMBIGUOUS,"563113, Kolar, Karnataka, India"
tc-113,Kengal Hanumantaiah Industrial Training Centre Bethamangala,Private ITI,Kolar,,Bethamangala,13.005398,78.330362,private-recognized,9886151027,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.482954+00:00,HIGH,"Bethamangala, Kolar, Karnataka, India"
tc-114,Veera Neelambika Industrial Training Institute,Private ITI,Koppal,,"Shastri Nagar, Agalkere Po. Gangavathi Tq. Koppal Dt.",,,private-recognized,9448130068,,src-024,2026-09-05,FAILED,,,LOW,"Shastri Nagar, Koppal, Karnataka, India"
tc-115,Sri Jagadguru Tontadarya I.T.I Mandalagiri,Private ITI,Koppal,,"Mandalagiri, Taluk: Yalaburga",,,private-recognized,08534-258832,,src-024,2026-09-05,FAILED,,,LOW,"Mandalagiri, Koppal, Karnataka, India"
tc-116,"Sri Adichunchanagiri Private I.T.I, Melukote",Private ITI,Mandya,,"Melukote, Pandavapura, Mandya Dist.-571431",12.662405,76.649649,private-recognized,08236-299880,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.483476+00:00,HIGH,"Melukote, Mandya, Karnataka, India"
tc-117,Sri Ranganatha I.T.C B.R Koppalu,Private ITI,Mandya,,"Baburayana Koppalu, Srirangapatna Tq",12.428373,76.702519,private-recognized,9141564307,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.483658+00:00,HIGH,"Baburayana Koppalu, Mandya, Karnataka, India"
tc-118,Basava Industrial Training Institute Manvi,Private ITI,Raichur,,P.L.D Bank Building Near Kalmat School Manvi.,,,private-recognized,9449516839,,src-024,2026-09-05,FAILED,,,LOW,"P.L.D Bank Building Kalmat School Manvi, Raichur, Karnataka, India"
tc-119,Shakthi Nagar Industrial Training Institute,Private ITI,Raichur,,SHAKTINAGAR,16.363159,77.358502,private-recognized,8532246464,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:37.431655+00:00,HIGH,"SHAKTINAGAR, Raichur, Karnataka, India"
tc-120,"Hombegowda Industrail Training Centre, Kengal",Private ITI,Ramanagara,,"Kengal, Channapatna",,,private-recognized,7483229017,,src-024,2026-09-05,FAILED,,,LOW,"Kengal, Ramanagara, Karnataka, India"
tc-121,SLNM Industrial Training Centre Cannapatna,Private ITI,Ramanagara,,"1535, Loyada Beedi Channpatna",,,private-recognized,9241409517,,src-024,2026-09-05,FAILED,,,LOW,"Loyada Beedi Channpatna, Ramanagara, Karnataka, India"
tc-122,Ananya Rural ITC,Private ITI,Shivamogga,,"Ayanur, Shimoga",14.01406,75.432668,private-recognized,08182-235075,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:59.314208+00:00,HIGH,"Ayanur, Shivamogga, Karnataka, India"
tc-123,Sumauka Industrial Training Centre Anandapuram,Private ITI,Shivamogga,,Anandapuram Sagara(T),,,private-recognized,8183262533,,src-024,2026-09-05,FAILED,,,LOW,"Anandapuram Sagara T, Shivamogga, Karnataka, India"
tc-124,Sri T.V. Venkataswamy Industrial Training Centre,Private ITI,Tumakuru,,G.B.N. Road Madhugiri,,,private-recognized,08137-282077,,src-024,2026-09-05,FAILED,,,LOW,"G.B.N. Road Madhugiri, Tumakuru, Karnataka, India"
tc-125,CSI Vocational Training Centre,Private ITI,Tumakuru,,PB No 101 B.H. Road,13.335682,77.121315,private-recognized,0816-2252366,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:20:14.586798+00:00,HIGH,"PB B.H. Road, Tumakuru, Karnataka, India"
tc-126,Barkur National Industrial Training Centre,Private ITI,Udupi,,"Haradi Village, barkur PO, Udupi Tq",13.428944,74.720807,private-recognized,0820-2587543,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:20:16.203212+00:00,HIGH,"Haradi Village, Udupi, Karnataka, India"
tc-127,"Rev. Fr. Robert Z. M. D'Souza Memorial Pvt. ITI, Nada",Private ITI,Udupi,,"Nada, Padukone, Kundapura Tq.",13.74011,74.670064,private-recognized,08254-279029,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:20:18.469316+00:00,HIGH,"Nada, Udupi, Karnataka, India"
tc-128,Bharath Liberal Educational Trust ITI Dandeli,Private ITI,Uttara Kannada,,GANDHINAGAR DANDELI,,,private-recognized,8284231032,,src-024,2026-09-05,FAILED,,,LOW,"GANDHINAGAR DANDELI, Uttara Kannada, Karnataka, India"
tc-129,Mazzarello Private Industrial Training Institute kasarkod,Private ITI,Uttara Kannada,,"Upperkasarkod, Kelaginoor, Honavar",,,private-recognized,08387-234711,,src-024,2026-09-05,FAILED,,,LOW,"Upperkasarkod, Uttara Kannada, Karnataka, India"
tc-130,Shree basavajyoti ITI kodekal,Private ITI,Yadgir,,post- kodekal Tq - Surupur Dist Yadigiri,,,private-recognized,9731203086,,src-024,2026-09-05,FAILED,,,LOW,"post- kodekal - Surupur Yadigiri, Yadgir, Karnataka, India"
tc-131,Charabasaveshwara Industrial Training Centre,Private ITI,Yadgir,,"opposite to karnataka electrical board, shahapur",,,private-recognized,9448509083,,src-024,2026-09-05,FAILED,,,LOW,"to karnataka electrical board, Yadgir, Karnataka, India"
tc-132,"Govt Industrial Training Institute, Davanagere (MIS GU29000048)",govt-ITI,Davanagere,,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-026,2026-09-05,FAILED,,,NONE,
tc-133,"Govt ITI, Koratagere (MIS GR29001513)",govt-ITI,Tumakuru,Koratagere,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-026,2026-09-05,FAILED,,,NONE,
tc-134,"Govt. ITI, BEML Nagar, KGF (MIS GU29000015)",govt-ITI,Kolar,,"BEML Nagar, Kolar Gold Fields - 563115",12.996576,78.238585,govt-recognized,,,src-026,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:21:19.686761+00:00,HIGH,"BEML Nagar, Kolar, Karnataka, India"
tc-135,"Govt Industrial Training Institute, Anekal Nagara (MIS GU29001424)",govt-ITI,Bengaluru Urban,Anekal,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-026,2026-09-05,FAILED,,,NONE,
tc-136,"Govt. ITI, Beguru (MIS GR29000925)",govt-ITI,Mysuru,Nanjangud,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-026,2026-09-05,FAILED,,,NONE,
tc-137,"Government Industrial Training Institute, Maddur (MIS GR29000400)",govt-ITI,Mandya,Maddur,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-026,2026-09-05,FAILED,,,NONE,
tc-138,"Govt ITI, Chamarajanagar (MIS GU29001514)",govt-ITI,Chamarajanagar,,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-026,2026-09-05,FAILED,,,NONE,
tc-139,"Government Industrial Training Institute, N R Mohalla, Mysore-07 (MIS GU29000053)",govt-ITI,Mysuru,,"N R Mohalla, Mysuru - 570007",12.326871,76.665268,govt-recognized,,,src-026,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:21:22.258209+00:00,HIGH,"N R Mohalla, Mysuru, Karnataka, India"
tc-140,"Govt Industrial Training Institute, Malavalli (MIS GU29000158)",govt-ITI,Mandya,Malavalli,REQUIRES OFFICIAL SOURCE VERIFICATION,,,govt-recognized,,,src-026,2026-09-05,FAILED,,,NONE,
